collection_date,collection_week,player_id,player_name,player_name_kr,birth_date,age,nationality,height,preferred_foot,shirt_number,position,team,team_id,league,league_id,season,market_value,contract_end,is_injured,injury_status,fotmob_url,matches,matches_per90,matches_percentile,started,started_per90,started_percentile,minutes_played,minutes_played_per90,minutes_played_percentile,goals,goals_per90,goals_percentile,assists,assists_per90,assists_percentile,rating,rating_per90,rating_percentile,attack_goals,attack_expected_goals,attack_xg_difference,attack_non_penalty_xg,attack_shots,attack_shots_on_target,attack_shooting_accuracy,attack_conversion_rate,attack_big_chances_missed,attack_dribbles_succeeded,attack_dribble_success_rate,attack_touches_in_box,passing_assists,passing_expected_assists,passing_xa_difference,passing_key_passes,passing_chances_created,passing_successful_passes,passing_pass_accuracy,passing_long_balls_accurate,passing_long_ball_accuracy,passing_crosses_accurate,passing_cross_accuracy,possession_touches,possession_touches_in_box,possession_dispossessed,possession_fouls_won,possession_penalty_won,defense_tackles,defense_tackles_successful,defense_tackle_success_rate,defense_interceptions,defense_clearances,defense_blocked_shots,defense_duels_won,defense_duel_success_rate,defense_ground_duels_won,defense_ground_duel_success_rate,defense_aerials_won,defense_aerial_success_rate,defense_recoveries,defense_dribbled_past,defense_fouls_committed,discipline_yellow_cards,discipline_red_cards,discipline_fouls_committed,discipline_fouls_won,shot_total_shots,shot_goals,shot_on_target,shot_blocked,shot_off_target,shot_left_foot,shot_right_foot,shot_headed,shot_open_play,shot_free_kick,shot_penalty,shot_total_xg,shot_preferred_foot_ratio,shot_quality
2025-11-19T08:43:22.260Z,2025-11-19,433677,Ui-Jo Hwang,,1992-08-28T00:00:00.000Z,33,South Korea,184 cm,Right,,Attacking Midfielder,Alanyaspor,4678,Super Lig,71,2025/2026,€673.9K,2027-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/433677,11,11,75,8,8,66.67,647,90,68.52,1,0.14,50.93,1,0.14,55.56,6.43,6.43,23.15,1,1.23,-0.23,1.23,13,5,0,7.69,0,4,33.3,23,1,0.28,0.72,0,5,92,71.9,5,71.4,2,25,211,23,4,10,0,0,0,0,0,0,0,17,37,0,0,5,33.3,10,3,4,0,0,4,10,13,1,13,0,0,4,8,0,12,0,0,1.23,61.54,0.095
2025-11-19T08:43:30.158Z,2025-11-19,1132818,Seol Young-Woo,,1998-12-05T00:00:00.000Z,26,Korea Republic,182 cm,Right,,Right Back,FK Crvena Zvezda,8687,Super Liga,182,2025/2026,€4.8M,,No,,https://www.fotmob.com/players/1132818,12,12,70.15,11,11,76.12,990,90,82.09,1,0.09,79.1,4,0.36,100,7.76,7.76,100,1,0,1,0,5,2,0,20,0,4,50,22,4,0,4,0,20,587,90.3,28,65.1,15,40.5,895,22,2,12,0,19,0,0,15,0,2,41,65.1,0,0,6,54.5,72,6,7,1,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-19T08:43:36.901Z,2025-11-19,1232560,Hyun-Jun Yang,,2002-05-25T00:00:00.000Z,23,South Korea,179 cm,Right,,Right Winger,Celtic,9925,Premiership,64,2025/2026,€2.1M,2028-05-31T00:00:00.000Z,No,,https://www.fotmob.com/players/1232560,5,5,11.63,3,3,27.91,187,90,13.95,0,0,0,0,0,0,6.69,6.69,41.86,0,0.71,-0.71,0.71,4,2,0,0,0,2,66.7,18,0,0.24,-0.24,0,2,77,82.8,0,0,2,28.6,123,18,1,2,1,1,0,0,1,0,0,6,40,0,0,1,20,12,1,2,0,0,2,2,4,0,4,0,0,1,2,1,4,0,0,0.71,50,0.177
2025-11-19T08:43:43.791Z,2025-11-19,1185902,Jens Castrop,,2003-07-29T00:00:00.000Z,22,South Korea,177 cm,Right,,Attacking Midfielder,Borussia Mönchengladbach,9788,Bundesliga,54,2025/2026,€8M,2029-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1185902,7,7,20.25,5,5,46.84,353,90,35.44,1,0.25,36.71,0,0,0,6.7,6.7,35.44,1,0.52,0.48,0.52,4,2,0,25,0,4,26.7,11,0,0.18,-0.18,0,5,79,78.2,7,58.3,0,0,204,11,4,8,0,20,0,0,4,0,0,33,47.1,0,0,1,20,22,4,14,1,1,14,8,4,1,4,0,0,2,1,1,4,0,0,0.54,50,0.134
2025-11-19T08:43:52.936Z,2025-11-19,1085809,Hyeok-Kyu Kwon,,2001-03-13T00:00:00.000Z,24,South Korea,192 cm,Right,,Central Midfielder,Nantes,9830,Ligue 1,53,2025/2026,€468.6K,2028-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1085809,9,9,34.78,6,6,41.3,533,90,46.74,0,0,0,0,0,0,6.31,6.31,10.87,0,0.05,-0.05,0.05,2,0,0,0,0,0,0,0,0,0.06,-0.06,0,0,134,87,8,53.3,0,0,224,0,3,9,0,10,0,0,5,0,5,25,49,0,0,7,53.8,14,8,9,2,0,9,9,2,0,2,0,0,0,0,0,0,2,0,0.05,0,0.024
2025-11-19T08:43:59.837Z,2025-11-19,1684578,Min-Su Kim,,2006-01-19T00:00:00.000Z,19,South Korea,177 cm,Right,,Left Winger,FC Andorra,494050,LaLiga2,140,2025/2026,€1.4M,2027-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1684578,14,14,100,14,14,100,1150,90,94.74,3,0.23,80.26,3,0.23,82.89,7.16,7.16,80.26,3,2.74,0.26,2.74,34,14,0,8.82,0,28,46.7,51,3,1.27,1.73,0,18,299,84.5,8,72.7,4,28.6,627,51,23,25,0,8,0,0,7,0,0,62,42.2,0,0,1,11.1,55,9,15,4,0,15,25,34,3,34,0,0,4,24,0,28,1,0,2.77,70.59,0.081
2025-11-19T08:44:05.837Z,2025-11-19,1044299,Hyun-Gyu Oh,,2001-04-12T00:00:00.000Z,24,South Korea,183 cm,Right,,Striker,Genk,9987,Belgian Pro League,40,2025/2026,€7M,2028-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1044299,13,13,71.43,9,9,67.35,787,90,75.51,5,0.57,89.8,2,0.23,77.55,6.95,6.95,77.55,5,5.4,-0.4,5.4,35,17,0,14.29,0,4,57.1,65,2,0.9,1.1,0,11,98,84.5,3,100,1,33.3,249,65,8,6,0,8,0,0,1,0,3,28,36.8,0,0,10,27,18,3,8,0,0,8,6,35,5,35,0,0,7,12,10,24,1,0,5.49,34.29,0.157
2025-11-19T08:44:14.966Z,2025-11-19,848102,Seung-Ho Paik,,1997-03-17T00:00:00.000Z,28,South Korea,180 cm,Right,,Defensive Midfielder,Birmingham City,8658,Championship,48,2025/2026,€1.8M,2028-06-30T00:00:00.000Z,Yes,Shoulder injury,https://www.fotmob.com/players/848102,15,15,100,14,14,83.93,1197,90,85.71,3,0.23,92.86,0,0,0,7.2,7.2,91.07,3,0.97,2.03,0.97,16,5,0,18.75,0,9,75,22,0,0.57,-0.57,0,13,508,85.4,16,61.5,1,12.5,752,22,4,11,0,23,0,0,11,0,3,67,59.3,0,0,24,66.7,51,12,15,3,0,15,11,16,3,16,0,0,3,4,4,10,0,0,0.97,25,0.061
2025-11-19T08:44:23.301Z,2025-11-19,1109166,Sang-Bin Jeong,,2002-04-01T00:00:00.000Z,23,South Korea,173 cm,Right,,Right Winger,St. Louis City,1427963,Major League Soccer,130,2025,€1.5M,2026-12-31T00:00:00.000Z,No,,https://www.fotmob.com/players/1109166,24,24,44.17,11,11,39.17,950,90,35.83,1,0.09,21.67,1,0.09,20,6.35,6.35,2.5,1,1.63,-0.63,1.63,14,2,0,7.14,0,9,36,27,1,1.27,-0.27,0,12,173,70,4,25,2,25,401,27,14,17,0,8,0,0,3,0,1,42,36.2,0,0,9,25.7,41,8,12,2,0,12,17,14,1,14,0,0,2,8,1,11,0,0,1.69,57.14,0.121
2025-11-19T08:44:31.338Z,2025-11-19,1384003,Jeong Ho-Yeon,,2000-09-28T00:00:00.000Z,25,Korea Republic,180 cm,,,Central Midfielder,Minnesota United,207242,Major League Soccer,130,2025,€950K,,No,,https://www.fotmob.com/players/1384003,4,4,2.59,1,1,0,86,90,0.52,0,0,0,0,0,0,6.06,6.07,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0.05,-0.05,0,0,21,80.8,0,0,0,0,45,0,3,1,0,3,0,0,2,0,1,6,35.3,0,0,1,50,5,2,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
